"1","A1B1","6000.000000000000000000","1"
"2","A1B2","5000.000000000000000000","2"
"3","A1B3","5000.000000000000000000","3"
"4","A1B4","-50.000000000000000000","1"
"5","A1B5","-995.660000000000000000","2"
"6","A1B6","-1589.990000000000000000","3"
"7","A1B7","55.630000000000000000","1"
"8","A1B8","999.510000000000000000","2"
"9","A1B9","-3000.550000000000000000","3"
"10","A2B1","-2999.990000000000000000","1"
"11","A2B2","-3854.550000000000000000","2"
"12","A2B3","2555.890000000000000000","3"
"13","A2B5","-555.550000000000000000","1"
"14","A2B6","-1099.550000000000000000","2"
"15","A2B7","-55.980000000000000000","1"
"16","A3B9","55.000000055400000000","3"
"17","A3B1","55.980000000000000000","2"
"18","A3B3","6.000000000000000000","1"
"24","A3B5","55.980000000000000000","4"
"22","A3B2","29.890000000000000000","1"
